0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-09-01 0:00,1,jeju,40,수집,공기질,초미세먼지,10.471,16.529,12.6942,63.471,5,1.867886506,3.489,,20190901,0,0,,
2019-09-01 0:00,1,jeju,40,수집,공기질,온도,23.829,24.471,24.1258,120.629,5,0.522111099,0.2726,,20190901,0,0,,
2019-09-01 0:00,1,jeju,41,수집,공기질,습도,68.943,70.057,69.1886,345.943,5,0.465832588,0.217,,20190901,0,0,,
2019-09-01 0:00,1,jeju,41,수집,공기질,초미세먼지,15.662,23.338,19.1324,95.662,5,2.982951558,8.898,,20190901,0,0,,
2019-09-01 0:00,1,jeju,41,수집,공기질,온도,21.869,22.431,22.1138,110.569,5,0.483114893,0.2334,,20190901,0,0,,
2019-09-01 0:00,1,jeju,42,수집,공기질,습도,99.768,100.232,99.9536,399.768,4,0.481663783,0.232,,20190901,0,0,,
2019-09-01 0:00,1,jeju,42,수집,공기질,초미세먼지,19.378,43.622,26.6256,106.378,4,9.47678743,89.8095,,20190901,0,0,,
2019-09-01 0:00,1,jeju,42,수집,공기질,온도,27.952,28.648,28.2304,112.852,4,0.589915248,0.348,,20190901,0,0,,
2019-09-01 0:00,1,jeju,43,수집,공기질,습도,63.534,64.466,63.9068,319.534,5,0.682641927,0.466,,20190901,0,0,,
2019-09-01 0:00,1,jeju,43,수집,공기질,초미세먼지,12.465,36.535,18.693,93.465,5,8.734700911,76.295,,20190901,0,0,,
2019-09-01 0:00,1,jeju,43,수집,공기질,온도,24.708,25.892,25.1816,125.908,5,0.769415362,0.592,,20190901,0,0,,
2019-09-01 0:00,1,jeju,44,수집,공기질,습도,63.654,65.346,64.5308,322.654,5,0.765506368,0.586,,20190901,0,0,,
2019-09-01 0:00,1,jeju,44,수집,공기질,초미세먼지,7.628,27.372,16.9256,84.628,5,7.264433908,52.772,,20190901,0,0,,
2019-09-01 0:00,1,jeju,44,수집,공기질,온도,23.933,24.967,24.3466,121.733,5,0.685127725,0.4694,,20190901,0,0,,
2019-09-01 0:00,1,jeju,45,수집,공기질,습도,90.539,91.461,90.9078,454.539,5,0.678969808,0.461,,20190901,0,0,,
2019-09-01 0:00,1,jeju,45,수집,공기질,초미세먼지,21.607,41.393,27.9214,139.607,5,6.92769803,47.993,,20190901,0,0,,
2019-09-01 0:00,1,jeju,45,수집,공기질,온도,17.706,18.294,17.9412,89.706,5,0.542217668,0.294,,20190901,0,0,,
2019-09-01 0:00,1,jeju,46,수집,공기질,습도,66.489,67.511,66.8978,334.489,5,0.71484264,0.511,,20190901,0,0,,
2019-09-01 0:00,1,jeju,46,수집,공기질,초미세먼지,7.552,25.448,18.3104,91.552,5,7.368039088,54.288,,20190901,0,0,,
2019-09-01 0:00,1,jeju,46,수집,공기질,온도,23.284,24.316,23.6968,118.484,5,0.7183314,0.516,,20190901,0,0,,
2019-09-01 0:00,1,jeju,47,수집,공기질,습도,69.997,70.003,69.9994,349.997,5,0.054772256,0.003,,20190901,0,0,,
2019-09-01 0:00,1,jeju,47,수집,공기질,초미세먼지,11.409,15.591,13.4818,67.409,5,1.559166444,2.431,,20190901,0,0,,
2019-09-01 0:00,1,jeju,47,수집,공기질,온도,23.061,23.739,23.3322,116.661,5,0.582237065,0.339,,20190901,0,0,,
2019-09-01 0:00,1,jeju,49,수집,공기질,습도,69.737,70.263,69.9474,349.737,5,0.512835256,0.263,,20190901,0,0,,
2019-09-01 0:00,1,jeju,49,수집,공기질,초미세먼지,11.773,23.227,16.5546,82.773,5,4.524046861,20.467,,20190901,0,0,,
2019-09-01 0:00,1,jeju,49,수집,공기질,온도,23.123,23.277,23.1846,115.923,5,0.277488739,0.077,,20190901,0,0,,
2019-09-01 0:00,1,jeju,50,수집,공기질,습도,72.957,74.043,73.3914,366.957,5,0.531977443,0.283,,20190901,0,0,,
2019-09-01 0:00,1,jeju,50,수집,공기질,초미세먼지,9.577,16.423,11.9154,59.577,5,2.612087288,6.823,,20190901,0,0,,
2019-09-01 0:00,1,jeju,50,수집,공기질,온도,22.67,23.33,22.934,114.67,5,0.574456265,0.33,,20190901,0,0,,
2019-09-01 0:00,1,jeju,53,수집,공기질,습도,61.527,62.473,61.9054,309.527,5,0.687749955,0.473,,20190901,0,0,,
2019-09-01 0:00,1,jeju,53,수집,공기질,초미세먼지,14.356,18.644,16.0712,80.356,5,1.41562707,2.004,,20190901,0,0,,
2019-09-01 0:00,1,jeju,53,수집,공기질,온도,22.83,23.87,23.246,116.23,5,0.687313611,0.4724,,20190901,0,0,,
2019-09-01 0:00,1,jeju,54,수집,공기질,습도,62.606,64.394,63.1212,315.606,5,0.744311763,0.554,,20190901,0,0,,
2019-09-01 0:00,1,jeju,54,수집,공기질,초미세먼지,11.843,24.157,17.7686,88.843,5,4.039430653,16.317,,20190901,0,0,,
2019-09-01 0:00,1,jeju,54,수집,공기질,온도,23.31,23.69,23.462,117.31,5,0.435889894,0.19,,20190901,0,0,,
2019-09-01 0:00,1,jeju,55,수집,공기질,습도,64.907,65.093,64.9814,324.907,5,0.304959014,0.093,,20190901,0,0,,
2019-09-01 0:00,1,jeju,55,수집,공기질,초미세먼지,11.478,21.522,15.6956,78.478,5,3.985222704,15.882,,20190901,0,0,,
2019-09-01 0:00,1,jeju,55,수집,공기질,온도,23.256,24.044,23.5512,117.756,5,0.587877538,0.3456,,20190901,0,0,,
2019-09-01 0:00,1,jeju,56,수집,공기질,습도,67.991,69.009,68.3982,341.991,5,0.498998998,0.249,,20190901,0,0,,
2019-09-01 0:00,1,jeju,56,수집,공기질,초미세먼지,3.918,4.082,3.9836,19.918,5,0.286356421,0.082,,20190901,0,0,,
2019-09-01 0:00,1,jeju,56,수집,공기질,온도,22.517,23.583,22.9634,114.817,5,0.696706538,0.4854,,20190901,0,0,,
2019-09-01 0:00,1,jeju,57,수집,공기질,습도,72.995,74.005,73.599,367.995,5,0.494974747,0.245,,20190901,0,0,,
2019-09-01 0:00,1,jeju,57,수집,공기질,초미세먼지,33.432,60.568,42.0864,210.432,5,9.226483621,85.128,,20190901,0,0,,
2019-09-01 0:00,1,jeju,57,수집,공기질,온도,21.811,22.389,22.0422,110.211,5,0.537587202,0.289,,20190901,0,0,,
2019-09-01 0:00,1,jeju,58,수집,공기질,습도,65.312,67.688,66.2624,331.312,5,0.963327566,0.928,,20190901,0,0,,
2019-09-01 0:00,1,jeju,58,수집,공기질,초미세먼지,12.412,23.588,16.8824,84.412,5,3.713219627,13.788,,20190901,0,0,,
2019-09-01 0:00,1,jeju,58,수집,공기질,온도,22.168,22.632,22.3536,111.768,5,0.481663783,0.232,,20190901,0,0,,
2019-09-01 0:00,1,jeju,59,수집,공기질,습도,69.304,71.696,70.6608,353.304,5,0.92520268,0.856,,20190901,0,0,,
2019-09-01 0:00,1,jeju,59,수집,공기질,초미세먼지,15.422,31.578,22.2844,111.422,5,4.981766755,24.818,,20190901,0,0,,
2019-09-01 0:00,1,jeju,59,수집,공기질,온도,21.783,21.817,21.7966,108.983,5,0.130384048,0.017,,20190901,0,0,,
2019-09-01 0:00,1,jeju,60,수집,공기질,습도,60.616,61.384,60.9232,304.616,5,0.619677335,0.384,,20190901,0,0,,
2019-09-01 0:00,1,jeju,60,수집,공기질,초미세먼지,12.675,22.325,16.935,84.675,5,3.335416016,11.125,,20190901,0,0,,
2019-09-01 0:00,1,jeju,60,수집,공기질,온도,23.74,24.56,24.048,120.24,5,0.601331855,0.3616,,20190901,0,0,,
2019-09-01 0:00,1,jeju,61,수집,공기질,습도,71.878,73.122,72.1756,360.878,5,0.531036722,0.282,,20190901,0,0,,
2019-09-01 0:00,1,jeju,61,수집,공기질,초미세먼지,11.882,16.118,13.7764,68.882,5,1.509304476,2.278,,20190901,0,0,,
2019-09-01 0:00,1,jeju,61,수집,공기질,온도,23.176,23.524,23.3352,116.676,5,0.355527777,0.1264,,20190901,0,0,,
2019-09-01 0:00,1,jeju,62,수집,공기질,습도,80.58,82.42,81.516,407.58,5,0.81240384,0.66,,20190901,0,0,,
2019-09-01 0:00,1,jeju,62,수집,공기질,초미세먼지,3.774,6.226,4.9548,24.774,5,0.791201618,0.626,,20190901,0,0,,
2019-09-01 0:00,1,jeju,62,수집,공기질,온도,19.79,20.31,20.038,100.19,5,0.46,0.2116,,20190901,0,0,,
2019-09-01 0:00,1,jeju,65,수집,공기질,습도,67.945,68.055,67.989,339.945,5,0.234520788,0.055,,20190901,0,0,,
2019-09-01 0:00,1,jeju,65,수집,공기질,초미세먼지,5.844,9.156,7.3688,36.844,5,1.263328936,1.596,,20190901,0,0,,
2019-09-01 0:00,1,jeju,65,수집,공기질,온도,23.093,23.307,23.1786,115.893,5,0.327108545,0.107,,20190901,0,0,,
2019-09-01 8:00,1,jeju,2,수집,공기질,습도,80.703,82.297,81.5406,407.703,5,0.732802838,0.537,,20190901,8,0,,
2019-09-01 8:00,1,jeju,2,수집,공기질,초미세먼지,2.599,10.401,6.3198,31.599,5,2.65348827,7.041,,20190901,8,0,,
2019-09-01 8:00,1,jeju,2,수집,공기질,온도,21.758,22.942,22.2716,111.358,5,0.737292344,0.5436,,20190901,8,0,,
2019-09-01 8:00,1,jeju,3,수집,공기질,습도,57.407,59.593,58.6814,293.407,5,0.867755726,0.753,,20190901,8,0,,
2019-09-01 8:00,1,jeju,3,수집,공기질,초미세먼지,32.516,56.484,41.3032,206.516,5,8.16847599,66.724,,20190901,8,0,,
2019-09-01 8:00,1,jeju,3,수집,공기질,온도,24.061,25.239,24.5722,122.861,5,0.735255058,0.5406,,20190901,8,0,,
2019-09-01 8:00,1,jeju,4,수집,공기질,습도,61.654,63.346,62.1308,310.654,5,0.71133677,0.506,,20190901,8,0,,
2019-09-01 8:00,1,jeju,4,수집,공기질,초미세먼지,11.554,27.446,16.3108,81.554,5,5.575482042,31.086,,20190901,8,0,,
